# ['Data file recorded 2013/7/10  23:55:5']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [400, 0, 400, 0, 0, 400, 0, 400, 0, 0]']
# ['%  delta         = [16384, 16384, 16384, 16384]']
# ['%  intervals     = [35, 35, 15, 15]']
# ['% Columns: ']
# ['% seq | time | LPos| RPos | LPWM | RPWM | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | LEMF | REMF | BAT | Steer']
193  -4.67   4.88  -1541  1369   212  2879   847    79  4110  -1337  -3531  -184   181   927  
196  -4.96   5.20   882  -1276   212  2879   847   106  4110  -1337  -3531  -172   177   929  
200  -5.18   5.46  1052  -1586  -812  2627   331   116  1999   695  -1145  -175   184   923  
203  -5.46   5.69   450  -481  -812  2627   331   126  1999   695  -1145  -147   138   920  
206  -5.66   5.84  -259   -50  -2021  -1149  -1558    78  2547   404  -898  -116   120   926  
210  -5.85   5.96   101  1064  -2021  -1149  -1558    29  2547   404  -898  -128    76   934  
213  -6.07   6.11  -308  1419  -2021  -1149  -1558   -19  2547   404  -898  -110    63   929  
216  -6.26   6.24  -356  1503  -1212  -2280  -1266   -59  2702  -2751  -934  -106    60   927  
220  -6.39   6.36  -634  1016  -1212  -2280  -1266  -107  2702  -2751  -934   -95    80   924  
223  -6.61   6.56  -340  1196  -457   -28   524   -98  1517  -2201  1258  -105    72   926  
226  -6.73   6.68  -753   811  -457   -28   524   -96  1517  -2201  1258   -89    88   926  
230  -6.86   6.83  -736   872  -457   -28   524   -94  1517  -2201  1258   -90    85   927  
233  -7.01   7.02  -1320   954  -773  -113   835   -74  2780   578  -803   -68    81   925  
236  -7.11   7.17  -1179   640  -773  -113   835   -53  2780   578  -803   -75    93   924  
240  -7.18   7.34  -1541   452  -263  -625   655   -38  2300  1351  -219   -63    99   925  
243  -7.31   7.57  -2123   733  -263  -625   655    -7  2300  1351  -219   -42    86   923  
246  -7.41   7.74  -2134   298  -320  -2393  -461   -11  5086  -530  2322   -43   102   923  
250  -7.50   7.90  -1945   467  -320  -2393  -461    -9  5086  -530  2322   -52    94   919  
253  -7.68   8.12  -1479   130  -320  -2393  -461    -8  5086  -530  2322   -71   106   922  
256  -7.77   8.29  -1867   -39   198  -2489  -696   -13  2952  -530   818   -57   111   924  
260  -7.92   8.47  -1705    19   198  -2489  -696   -18  2952  -530   818   -63   107   924  
263  -8.09   8.69  -1488   176   651  -524   -16    -2  3786    42  3833   -72    99   925  
266  -8.23   8.84  -3800  3087   651  -524   -16     7  3786    42  3833   -83    92   926  
270  -8.43   9.05  -3800  3118   651  -524   -16    16  3786    42  3833   -74    95   898  
273  -8.75   9.32  -3149  2768   727  3164  -210    12  6214  -2185  1464  -124   115   904  
276  -9.04   9.54  -2697  2862   727  3164  -210     7  6214  -2185  1464  -143   115   910  
280  -9.38   9.78  -2050  2733  1158  2760   477    24  10141  -237  1574  -168   123   918  
283  -9.81  10.13  -1108  2179  1158  2760   477    20  10141  -237  1574  -205   148   921  
286 -10.10  10.38  -1031  2447  1468  1168   749    23   607  1922   -97  -209   140   926  
290 -10.43  10.68  -1318  2290  1468  1168   749    20   607  1922   -97  -197   147   927  
293 -10.85  11.09  -1695  1723  1468  1168   749    16   607  1922   -97  -182   170   925  
296 -11.12  11.40   709  -1401    56  1705   207    -4  7625  -343  -5193  -170   185   926  
300 -11.39  11.67   846  -1613    56  1705   207   -24  7625  -343  -5193  -170   188   923  
303 -11.67  11.95   176  -708  -1256   729  -483   -65  9361  1686  -1835  -139   148   921  
306 -11.89  12.13   186  -306  -1256   729  -483   -91  9361  1686  -1835  -136   130   923  
310 -12.08  12.25   246   458  -1256   729  -483  -116  9361  1686  -1835  -136   100   932  
313 -12.33  12.39   368  1192  -1220  -2508  -1602  -117  7696  -1876  -686  -138    72   931  
316 -12.53  12.49   127  1353  -1220  -2508  -1602  -119  7696  -1876  -686  -126    67   929  
320 -12.67  12.62  -390  1163    80  -3370  -840   -96  3787  -1084  -152  -105    75   925  
323 -12.90  12.79  -340  1170    80  -3370  -840   -83  3787  -1084  -152  -105    75   925  
326 -13.02  12.94  -677  1383   539   244   563   -26  5950  -4171  2332   -92    66   925  
330 -13.14  13.09  -763  1120   539   244   563   -25  5950  -4171  2332   -89    76   924  
333 -13.27  13.28  -1419   554   539   244   563   -24  5950  -4171  2332   -65    98   924  
336 -13.36  13.45  -1382   790    -2  -1072  1112    -5  7405    94   373   -68    87   923  
340 -13.47  13.60  -1916   677    -2  -1072  1112     3  7405    94   373   -48    91   923  
343 -13.59  13.82  -2071   686   -95  -1577   489    -7  4242   309  1314   -44    89   920  
346 -13.69  13.99  -1608   574   -95  -1577   489   -12  4242   309  1314   -64    92   924  
350 -13.79  14.18  -1898   391   -95  -1577   489   -18  4242   309  1314   -54    97   923  
353 -13.96  14.40  -1453   226  -139  -1234    48    -2  2678  -168  1676   -72   102   923  
356 -14.06  14.57  -1841   267  -139  -1234    48    13  2678  -168  1676   -58    99   924  
360 -14.20  14.75  -1381  -107   122    -9   336    38  2835  -779  2301   -76   112   924  
363 -14.37  14.97  -1513   -23   122    -9   336    70  2835  -779  2301   -71   107   926  
366 -14.52  15.14  -3800  2744   608  2233   310   102  3847   922  3106   -80   105   926  
370 -14.69  15.35  -3800  3369   608  2233   310   112  3847   922  3106   -77    84   900  
373 -15.01  15.60  -3123  2744   608  2233   310   122  3847   922  3106  -126   116   901  
376 -15.30  15.82  -2623  2812  1088  3638  -249   115   852  -527  -1323  -147   117   906  
380 -15.61  16.07  -1846  2582  1088  3638  -249   114   852  -527  -1323  -178   129   919  
383 -16.05  16.42  -1381  2455  1218  1787  -499   105  5342  -174  2981  -196   137   923  
386 -16.39  16.69  -904  2223  1218  1787  -499    74  5342  -174  2981  -214   148   926  
390 -16.71  16.98  -1245  2142  1218  1787  -499    44  5342  -174  2981  -200   152   928  
393 -17.11  17.37  -1667  1595   352  1658  -448     6   -70    98  -3985  -184   175   926  
396 -17.38  17.69  1175  -1468   352  1658  -448   -30   -70    98  -3985  -186   184   925  
400 -17.65  18.01  1174  -1945  -455  -192  -546   -71  11623  -3648   131  -175   190   933  
403 -17.98  18.41   912  -2025  -455  -192  -546   -94  11623  -3648   131  -151   177   934  
406 -18.23  18.65  1141  -2450  -455  -192  -546  -118  11623  -3648   131  -150   184   933  
410 -18.48  18.87  1194  -1897  -1459   299   281   -94  5079  -2413   860  -142   153   931  
413 -18.76  19.14  1311  -1347  -1459   299   281   -70  5079  -2413   860  -135   120   930  
416 -19.01  19.31  1586  -1597  -711  -3270  -513   -71  4080   -89  -490  -136   123   929  
420 -19.20  19.51  1707  -1693  -711  -3270  -513   -37  4080   -89  -490  -133   119   928  
423 -19.45  19.73  1862  -1401   295    56   805    37  6603  -848  1423  -129    98   928  
426 -19.60  19.93  2038  -1827   295    56   805    89  6603  -848  1423  -130   107   928  
430 -19.75  20.08  1367  -1881   295    56   805   140  6603  -848  1423   -97   103   927  
433 -19.88  20.32   945  -2272   169   392  1193   160  3924   110  -2169   -75   109   927  
