# ['Data file recorded 2013/1/14  7:59:53']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [300, 0, 300, 0, 50, 300, 0, 300, 0, 50]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF ']
260   8.22   7.92 692 1065 0 0 0 0 0 0 0 0 0  
263   8.44   8.12 575 917 0 0 0 0 0 0 0 0 0  
266   8.62   8.26 443 731 0 0 0 0 0 0 0 0 0  
270   8.77   8.36 422 806 0 0 0 0 0 0 0 0 0  
273   8.97   8.49 248 634 0 0 0 0 0 0 0 0 0  
276   9.07   8.57 172 630 0 0 0 0 0 0 0 0 0  
280   9.14   8.64 190 590 0 0 0 0 0 0 0 0 0  
283   9.19   8.72 245 513 0 0 0 0 0 0 0 0 0  
286   9.20   8.77 226 476 0 0 0 0 0 0 0 0 0  
290   9.20   8.82 224 455 0 0 0 0 0 0 0 0 0  
293   9.15   8.85 281 510 -1 -1 -1 0 -1 -1 -1 0 0  
296   9.10   8.87 376 493 -1 -1 -1 0 -1 -1 -1 0 0  
300   9.05   8.89 432 456 -1 -1 -1 0 -1 -1 -1 0 0  
303   9.00   8.89 374 458 -1 -1 -1 0 -1 -1 -1 0 0  
306   8.95   8.89 431 382 -1 -1 -1 0 -1 -1 -1 0 0  
310   8.92   8.87 452 477 -1 -1 -1 0 -1 -1 -1 0 0  
313   8.87   8.87 472 478 -1 -1 -1 0 -1 -1 -1 0 0  
316   8.85   8.86 510 498 -1 -1 -1 0 -1 -1 -1 0 0  
320   8.82   8.86 510 498 -1 -1 -1 0 -1 -1 -1 0 0  
323   8.82   8.87 510 478 -1 -1 -1 0 -1 -1 -1 0 0  
326   8.82   8.86 529 498 -1 -1 -1 0 -1 -1 -1 0 0  
330   8.80   8.87 604 497 -1 -1 -1 0 -1 -1 -1 0 0  
333   8.82   8.87 529 497 -1 -1 -1 0 -1 -1 -1 0 0  
336   8.82   8.87 510 479 -1 -1 -1 0 -1 -1 -1 0 0  
340   8.82   8.87 529 479 -1 -1 -1 0 -1 -1 -1 0 0  
343   8.82   8.87 530 479 -1 -1 -1 0 -1 -1 -1 0 0  
346   8.82   8.86 529 480 -1 -1 -1 0 -1 -1 -1 0 0  
350   8.82   8.86 454 480 -1 -1 -1 0 -1 -1 -1 0 0  
353   8.82   8.89 1727 1658 0 0 0 0 0 0 0 0 0  
356   8.87   8.92 1595 1637 0 0 0 0 0 0 0 0 0  
360   8.92   8.97 1557 1524 0 0 0 0 0 0 0 0 0  
363   9.03   9.05 1480 1465 0 0 0 0 0 0 0 0 0  
366   9.10   9.12 1422 1406 0 0 0 0 0 0 0 0 0  
370   9.18   9.20 1308 1349 0 0 0 0 0 0 0 0 0  
373   9.23   9.28 1399 1288 0 0 0 0 0 0 0 0 0  
376   9.30   9.37 1268 1138 0 0 0 0 0 0 0 0 0  
380   9.35   9.45 1230 1155 0 0 0 0 0 0 0 0 0  
383   9.38   9.58 1284 1059 0 0 0 0 0 0 0 0 0  
